Soundex of abckvq : 3  : abusive : abusively : abusiveness
Soundex of acrufj : 43  : accruable : acerbate : acerbated : acerbates : acerbating : acerbic : acerbity : acquirable : acrobat : acrobatic : acrobatically : acrobatics : acrobats : acrophobia : acropolis : acropolises : aggravate : aggravated : aggravates : aggravating : aggravation : aggravations : aggrieve : aggrieved : aggrieves : aggrieving : agoraphobia : agoraphobic : agraphia : agreeable : agreeableness : agreeably : agribusiness : ascorbic : ascribable : ascribe : ascribed : ascribes : ascribing : ascription : azerbaijan : azerbaijani : azerbaijanis
Soundex of aecmee : 18  : aachen : acme : acne : aegean : aequum : again : agony : akin : ashen : asian : assam : assume : aswan : awaken : awesome : awoken : axiom : axon
Metaphone of aecmee : 1  : aequum
Soundex of aewf : 9  : ab : aba : abbey : abe : abu : ape : apia : ave : avow
Metaphone of aewf : 2  : eva : eve
Soundex of afbgdd : 98  : abactor : abactors : abased : abashed : abecedarian : abecedarians : abstain : abstained : abstainer : abstainers : abstaining : abstains : abstemious : abstemiously : abstention : abstentions : abstinence : abstinent : abstinently : abstract : abstracted : abstractedly : abstractedness : abstracter : abstracters : abstracting : abstraction : abstractionism : abstractionist : abstractionists : abstractions : abstractive : abstractly : abstractness : abstractor : abstractors : abstracts : abstruse : abstrusely : abstruseness : abused : affect : affectation : affectations : affected : affectedly : affectedness : affecting : affectingly : affection : affectionate : affectionately : affections : affective : affects : affixed : apostasies : apostasy : apostate : apostates : apostatise : apostatised : apostatises : apostatising : apostatize : apostatized : apostatizes : apostatizing : apostle : apostles : apostolic : apostrophe : apostrophes : apostrophise : apostrophised : apostrophises : apostrophising : apostrophize : apostrophized : apostrophizes : apostrophizing : appeased : appestat : appestats : apposite : appositely : apposition : appositions : appositive : appositives : avocado : avocados : avocat : avocation : avocations : avocet : avocets : avouched
Soundex of afnwj : 30  : abeyance : abingdon : abnegate : abnegated : abnegates : abnegating : abnegation : abnegator : abnegators : affiance : affianced : affiances : affiancing : apanage : apanages : aping : apneas : apnoeas : appanage : appanages : avenge : avenged : avenger : avengers : avenges : avenging : avenues : avionics : avowing : avuncular
Metaphone of afnwj : 1  : avenge
Soundex of ahczmaa : 18  : aachen : acme : acne : aegean : aequum : again : agony : akin : ashen : asian : assam : assume : aswan : awaken : awesome : awoken : axiom : axon
Metaphone of ahczmaa : 1  : axiom
Soundex of ahmfliy : 44  : amble : ambled : ambler : amblers : ambles : ambleside : ambling : ambulance : ambulances : ambulant : ambulate : ambulated : ambulates : ambulating : ambulatory : amiability : amiable : amiably : ample : ampleness : ampler : amplest : amplification : amplifications : amplified : amplifier : amplifiers : amplifies : amplify : amplifying : amplitude : amplitudes : amply : ampoule : ampoules : anabolic : anabolism : anaphylactic : anaphylaxis : annapolis : anopheles : anvil : anvils : anyplace
Soundex of ahtd : 15  : ad : ada : add : adieu : ado : ahead : aid : aida : aide : at : ate : audio : auto : await : awed
Metaphone of ahtd : 5  : added : adit : aided : aoudad : audit
Soundex of aisj : 28  : ace : ache : achy : age : agio : ago : ague : aqua : as : asa : ascii : ase : ash : ashy : asia : ask : askew : asks : ass : assay : auk : auks : awake : awash : awes : awoke : axe : ayes
Metaphone of aisj : 1  : assuage
Soundex of akav : 4  : achieve : aesop : agape : asp
Soundex of akocbm : 4  : accessibility : accessible : accessibly : assessable
Soundex of amai : 21  : aeon : ahem : aim : am : ami : ammo : amy : an : ana : anew : ann : anna : anne : anni : annie : anno : annoy : any : anyhow : anyway : awn
Metaphone of amai : 5  : aim : am : ami : ammo : amy
Soundex of aomg : 31  : aeons : aims : amass : amax : amaze : amex : amica : amici : amies : amigo : amis : amish : amiss : amissa : amnesia : amok : amos : amuck : amuse : anise : anjou : annex : annexe : annis : annos : annoys : anoxia : ansi : anus : anywise : awing
Metaphone of aomg : 4  : amica : amigo : amok : amuck
